Designation,Prov_Des,Ln,q,Q,EMoid,H,Epoch,M,Peri,Node,Incl,e,a,Opps,Ref,Designation,name,year,month,day,ate,site,discovers
,2020,YF,0.721,0.988,0.00273,28.82,20201217,188,352.7,266.7,2.7,0.157,0.854,(  6d),E2020-YA1,2020,YF,2020,12,17,703,CSS,
,2020,YC,0.709,1.163,0.01509,25.87,20201217,256.8,308.6,263.7,4,0.243,0.936,(  6d),E2020-YF2,2020,YC,2020,12,16,G96,Mt. Lemmon,Survey
,2020,YB,0.768,1.083,0.00286,28.9,20201217,251.8,128.6,82,1.2,0.17,0.926,(  5d),MPC xxxxx,2020,YB,2020,12,16,G96,Mt. Lemmon,Survey
,2020,YA2,0.614,1.003,0.00436,28.2,20201217,162,13.5,263.2,2.6,0.24,0.808,(  1d),MPC xxxxx,2020,YA2,2020,12,20,G96,Mt. Lemmon,Survey
,2020,YA1,0.84,1.044,0.00023,26.75,20201217,234.7,299.2,282.3,2.4,0.109,0.942,( 16d),E2021-A07,2020,YA1,2020,12,17,G96,Mt. Lemmon,Survey
,2020,XY4,0.557,1.16,0.00248,27,20201217,258.4,318.8,262.5,1.2,0.352,0.858,( 10d),MPC xxxxx,2020,XY4,2020,12,11,F52,Pan-STARRS,2
,2020,XX6,0.261,1.417,0.04158,24,20201217,90.9,205.2,88,12.5,0.689,0.839,(  4d),MPC xxxxx,2020,XX6,2020,12,15,G96,Mt. Lemmon,Survey
,2020,XV3,0.796,1.186,0.18673,22.8,20201217,150.3,196.9,82.2,31.3,0.197,0.991,( 13d),MPC xxxxx,2020,XV3,2020,12,10,F51,Pan-STARRS,1
,2020,XR1,0.433,1.189,0.07064,23.8,20201217,255.2,150.9,74.6,35.4,0.466,0.811,( 13d),MPC xxxxx,2020,XR1,2020,12,6,G96,Mt. Lemmon,Survey
,2020,XQ6,0.325,1.601,0.05141,22.79,20201217,287.2,278.2,312.9,5.3,0.662,0.963,( 21d),E2021-A14,2020,XQ6,2020,12,14,V00,Kitt Peak-,Bok
,2020,XM1,0.551,1.096,0.06516,21.5,20201217,161.7,202.2,56.3,34.5,0.331,0.824,( 13d),MPC xxxxx,2020,XM1,2020,12,6,G96,Mt. Lemmon,Survey
,2020,XK3,0.675,1.174,0.18144,21.73,20201217,203.4,349.5,254,57.3,0.27,0.924,( 34d),E2021-AG0,2020,XK3,2020,12,9,F52,Pan-STARRS,2
,2020,XJ3,0.59,1.021,0.01026,25.7,20201217,215.2,326.2,278.1,5.5,0.267,0.806,( 12d),MPC xxxxx,2020,XJ3,2020,12,9,F51,Pan-STARRS,1
,2020,XH2,0.769,1.135,0.00481,27.1,20201217,105.1,101.3,218.5,1,0.192,0.952,(  9d),MPC xxxxx,2020,XH2,2020,12,8,G96,Mt. Lemmon,Survey
,2020,XG,0.585,1.255,0.00226,28.1,20201217,98.2,52.6,255.6,1.2,0.364,0.92,(  5d),MPC xxxxx,2020,XG,2020,12,4,G96,Mt. Lemmon,Survey
,2020,XF,0.825,1.002,0.00108,26.84,20201217,157.3,211.6,71.5,4.4,0.097,0.914,( 31d),E2021-A14,2020,XF,2020,12,5,703,CSS,
,2020,XC,0.833,1.038,0.00084,29,20201217,132.7,234.1,68.9,2.5,0.11,0.936,( 11d),MPC xxxxx,2020,XC,2020,12,4,G96,Mt. Lemmon,Survey
,2020,XA5,0.506,1.136,0.02544,24.27,20201217,176.4,118.7,146.8,4.4,0.384,0.821,( 25d),E2021-A07,2020,XA5,2020,12,9,F51,Pan-STARRS,1
,2020,WW3,0.866,1.03,0.0236,25.6,20201217,161.6,216.3,62,17.2,0.086,0.948,(  9d),MPC xxxxx,2020,WW3,2020,11,24,G96,Mt. Lemmon,Survey
,2020,WU3,0.569,1.184,0.09925,23.3,20201217,155.9,211.1,61.1,35.1,0.351,0.877,(  2d),MPC xxxxx,2020,WU3,2020,11,22,G96,Mt. Lemmon,Survey
,2020,WT4,0.717,1.018,0.0055,27.7,20201217,200.5,169.8,77.4,0.8,0.173,0.868,( 15d),MPC xxxxx,2020,WT4,2020,11,24,G96,Mt. Lemmon,Survey
,2020,WR1,0.573,1.112,0.03793,24.45,20201217,186.1,207.8,46.2,10.8,0.32,0.842,( 18d),E2021-A03,2020,WR1,2020,11,18,G96,Mt. Lemmon,Survey
,2020,WR,0.777,1.07,0.01129,27.5,20201217,158.4,224.1,52.5,3.9,0.159,0.923,(  9d),MPC xxxxx,2020,WR,2020,11,17,F51,Pan-STARRS,1
,2020,WO3,0.392,1.109,0.09329,23.01,20201217,236.8,348.7,245,27.6,0.477,0.75,( 44d),E2020-YF7,2020,WO3,2020,11,22,G96,Mt. Lemmon,Survey
,2020,WM,0.471,1.125,0.00997,25,20201217,283.6,133,71.6,3.4,0.41,0.798,( 10d),MPC xxxxx,2020,WM,2020,11,17,G96,Mt. Lemmon,Survey
,2020,WJ3,0.62,1.212,0.08414,23.2,20201217,282.5,317.7,239.3,48.8,0.323,0.916,(  5d),MPC xxxxx,2020,WJ3,2020,11,22,K88,"GINOP-KHK,",Piszkesteto
,2020,VZ5,0.628,1.15,0.03285,21.08,20201217,149.6,44.7,246.2,22.6,0.293,0.889,(113d),E2021-E78,2020,VZ5,2020,11,14,G96,Mt. Lemmon,Survey
,2020,VY4,0.452,1.112,0.05008,25,20201217,195.4,4.1,243.3,6.1,0.422,0.782,( 10d),MPO600176,2020,VY4,2020,11,13,G96,Mt. Lemmon,Survey
,2020,VY2,0.42,1.172,0.10889,23.8,20201217,268,342.9,231.1,24.4,0.472,0.796,( 14d),MPO600175,2020,VY2,2020,11,11,G96,Mt. Lemmon,Survey
,2020,VW,0.55,1.134,0.00158,28.5,20201217,161,41.4,221.7,3,0.347,0.842,( 15d),MPO600174,2020,VW,2020,11,5,G96,Mt. Lemmon,Survey
,2020,VU5,0.647,1.016,0.01189,27.4,20201217,242.9,163.8,55.2,5,0.222,0.831,(  8d),MPO600176,2020,VU5,2020,11,15,G96,Mt. Lemmon,Survey
,2020,VT4,0.724,1.092,0.00031,28.7,20201217,143.9,53.7,231.4,10.2,0.203,0.908,(  5d),MPO600175,2020,VT4,2020,11,14,T08,ATLAS-MLO,
,2020,VP4,0.815,1.054,0.00579,27.6,20201217,276.9,309,233.8,3.5,0.128,0.934,(  9d),E2021-DB6,2020,VP4,2020,11,13,G96,Mt. Lemmon,Survey
,2020,VN1,0.917,1.043,0.00021,27.9,20201217,136.8,256.4,44.8,3.5,0.064,0.98,( 17d),MPO600174,2020,VN1,2020,11,10,T05,ATLAS-HKO,
,2020,VL,0.911,1.068,0.05346,25.4,20201217,175.8,30.5,230.1,5.6,0.08,0.99,( 26d),E2020-W27,2020,VL,2020,11,5,G96,Mt. Lemmon,Survey
,2020,VH,0.703,1.031,0.00558,28.5,20201217,271.4,153.7,40.5,2.3,0.189,0.867,(  5d),E2020-V59,2020,VH,2020,11,5,G96,Mt. Lemmon,Survey
